system:index,country,sum,.geo
257,Russia,1.4104741925098044E8,
34,Canada,3.2227031564705867E7,
7,Antarctica,0.0,
86,Indonesia,2.0888438047450987E8,
39,China,1.317232832556863E9,
85,India,1.2023424138313725E9,
298,United States,2.901064078313727E8,
230,Mongolia,2770382.1450980357,
11,Australia,2.0932083525490217E7,
227,Mexico,1.1196975855294116E8,
26,Brazil,1.828857450156864E8,
38,Chile,1.652278916470588E7,
9,Argentina,3.855955589019619E7,
252,Portugal,9503518.262745101,
271,Spain,4.182344385490195E7,
222,Mali,1.5435102262745101E7,
225,Mauritania,3380549.1098039225,
4,Algeria,3.3795391250980444E7,
212,Libya,6033709.345098047,
276,Sudan,4.345201007843144E7,
37,Chad,1.1298291403921563E7,
58,Ethiopia,8.29549646941177E7,
100,Kenya,3.979372842352943E7,
308,Zaire,6.514214249411771E7,
6,Angola,1.891072194901961E7,
270,South Africa,4.891086812941178E7,
232,Mozambique,2.2594896145098023E7,
218,Madagascar,2.013806927450981E7,
233,Myanmar (Burma),4.665668460392159E7,
303,Vietnam,8.237749409411766E7,
220,Malaysia,2.6002192043137245E7,
269,Somalia,8914419.698039219,
261,Saudi Arabia,2.720037325882353E7,
245,Pakistan,1.75458217709804E8,
2,Afghanistan,3.1577531247058816E7,
87,Iran,7.355320250588234E7,
291,Turkey,7.016315770980385E7,
300,Uzbekistan,2.6687323137254905E7,
99,Kazakhstan,1.6319271556862753E7,
73,Greenland,13165.929411764704,
97,Japan,1.1575707480392146E8,
40,Colombia,4.5715917564705834E7,
52,Ecuador,1.3954882850980392E7,
249,Peru,2.81318705137255E7,
238,New Zealand,3498891.749019606,
59,Falkland Islands (Islas Malvinas),2309.5372549019608,
231,Morocco,3.04288334745098E7,
304,Western Sahara,356256.91372549016,
77,Guinea,9840828.72941177,
29,Burkina Faso,1.6458938337254906E7,
94,Ivory Coast,1.8864130164705876E7,
71,Ghana,2.3408069600000005E7,
241,Nigeria,1.560788831058822E8,
36,Central African Republic,4213705.623529413,
33,Cameroon,1.9403384027450968E7,
