,index,country,year,month,day,area,exposed_ghsl,iso3c,world_region,bias_factor,region_mean_bias,exposed_adjusted
1,1586,Australia,2000,2,18,316733253,38.29882955,AUS,Australia,0.943560094,0.943560094,36.13724719
2,1587,Madagascar,2000,2,17,228501286.6,4594.561996,MDG,Africa,0.304012171,0.46247262,1396.802768
3,1587,Comoros,2000,2,17,0,0,COM,Africa,0.46247262,0.46247262,0
4,1595,Turkey,2000,4,5,0,0,TUR,SW Asia,0.77599626,0.77599626,0
5,1595,Italy,2000,4,5,0,0,ITA,Europe,0.948137198,0.847993527,0
6,1595,Ukraine,2000,4,5,18738832.87,28.90140003,UKR,Europe,0.847993527,0.847993527,24.50820015
7,1595,Poland,2000,4,5,43301115.25,2305.5433,POL,Europe,0.828155775,0.847993527,1909.348998
8,1595,Romania,2000,4,5,12452695.32,66.02995753,ROU,Europe,0.701767431,0.847993527,46.33767368
9,1595,Germany,2000,4,5,0,0,DEU,Europe,0.921456916,0.847993527,0
10,1595,Bulgaria,2000,4,5,1522019.967,587.1638489,BGR,Europe,0.733469953,0.847993527,430.6670406
11,1595,Belarus,2000,4,5,5730307.246,28.08911514,BLR,Europe,0.994418542,0.847993527,27.93233692
12,1595,Lithuania,2000,4,5,0,0,LTU,Europe,1.24728672,0.847993527,0
13,1595,Serbia,2000,4,5,1418749.352,77.91121709,SRB,Europe,0.397863,0.847993527,30.99799058
14,1595,Croatia,2000,4,5,1584076.824,0,HRV,Europe,0.834105279,0.847993527,0
15,1595,Slovakia,2000,4,5,0,0,SVK,Europe,0.665175872,0.847993527,0
16,1595,Hungary,2000,4,5,3916724.043,0,HUN,Europe,0.81210331,0.847993527,0
17,1595,Czech Republic,2000,4,5,0,0,CZE,Europe,0.706504735,0.847993527,0
18,1595,Austria,2000,4,5,0,0,AUT,Europe,0.882000827,0.847993527,0
19,1595,Albania,2000,4,5,0,0,ALB,Europe,0.597146289,0.847993527,0
20,1595,Macedonia,2000,4,5,0,0,MKD,Europe,0.717670656,0.847993527,0
21,1595,Moldova,2000,4,5,0,0,MDA,Europe,0.730887973,0.847993527,0
22,1595,Bosnia and Herzegovina,2000,4,5,134150.6211,0,BIH,Europe,0.482298156,0.847993527,0
23,1595,Slovenia,2000,4,5,302898.25,0,SVN,Europe,0.901684125,0.847993527,0
24,1614,China,2000,7,11,0,0,CHN,E Asia,0.965356592,0.965356592,0
25,1614,Myanmar (Burma),2000,7,11,0,0,MMR,SE Asia,0.99413377,0.99413377,0
26,1614,Vietnam,2000,7,11,1075194661,117947.9791,VNM,SE Asia,1.202651776,0.99413377,141850.3465
27,1614,Thailand,2000,7,11,94147285.27,6414.083878,THA,SE Asia,0.972211952,0.99413377,6235.849009
28,1614,Laos,2000,7,11,236752.1602,0,LAO,SE Asia,0.684946154,0.99413377,0
29,1614,Cambodia,2000,7,11,3152889664,420396.7937,KHM,SE Asia,0.841259531,0.99413377,353662.8096
30,1627,Russia,2000,8,30,293716139.2,27254.10077,RUS,Europe,0.847993527,0.847993527,23111.30104
31,1627,China,2000,8,30,257190848.3,190774.8495,CHN,E Asia,0.965356592,0.965356592,184165.7587
32,1627,Mongolia,2000,8,30,0,0,MNG,N Asia,0.530972991,0.530972991,0
33,1627,Japan,2000,8,30,0,0,JPN,E Asia,0.772993492,0.965356592,0
34,1627,"Korea, Republic of",2000,8,30,39098618.14,196759.3856,KOR,E Asia,0.810885385,0.965356592,159549.3101
35,1627,North Korea,2000,8,30,150323212.1,372276.639,PRK,E Asia,0.965356592,0.965356592,359379.7077
36,1631,China,2000,9,1,102194046,18.63806534,CHN,E Asia,0.965356592,0.965356592,17.99237924
37,1631,Vietnam,2000,9,1,0,0,VNM,SE Asia,1.202651776,0.99413377,0
38,1631,Laos,2000,9,1,0,0,LAO,SE Asia,0.684946154,0.99413377,0
39,1631,Hong Kong,2000,9,1,57557.70313,0,HKG,E Asia,1.068645657,0.965356592,0
40,1631,Macau,2000,9,1,0,0,MAC,E Asia,0.964472402,0.965356592,0
41,1641,China,2000,9,18,50445793.21,49.06147131,CHN,E Asia,0.965356592,0.965356592,47.36181477
42,1641,India,2000,9,18,8090448132,3974379.154,IND,S Asia,0.571952806,0.571952806,2273157.311
43,1641,Myanmar (Burma),2000,9,18,0,0,MMR,SE Asia,0.99413377,0.99413377,0
44,1641,Pakistan,2000,9,18,0,0,PAK,S Asia,0.571952806,0.571952806,0
45,1641,Nepal,2000,9,18,60094970.24,2876.171292,NPL,S Asia,0.78444575,0.571952806,2256.200346
