"","iso2c","country","fpop_rate","p2000","p2000_a_1","p2000_a_2","p2000_a_3","p2000_f","p2000_f_1","p2000_f_2","p2000_f_3","p2000_nf_1","p2000_nf_2","p2000_nf_3","pdelt","pdelt_a_1","pdelt_a_2","pdelt_a_3","pdelt_f","pdelt_f_1","pdelt_f_2","pdelt_f_3","pdelt_nf_1","pdelt_nf_2","pdelt_nf_3","region","flood_mech","sum","iso3c","bias_factor","hrsl_data","region_mean_bias","region_sd_bias"
"1","CD","Chad",0,8481508.14463399,1379675.41471236,2497503.52179286,4604329.20812877,0,0,0,0,1379675.41471236,2497503.52179286,4604329.20812877,5753105.29033304,909339.494967165,1933885.30874832,2909880.48661755,0,0,0,0,909339.494967165,1933885.30874832,2909880.48661755,"Middle Africa","surge",42703840.3049011,"TCD",0.390777884718505,"Y",0.344372894192391,0.266766557072792
"2","MI","Malawi",1.34547804826574,11641927.2932115,5422302.78817266,4990800.64215147,1228823.86288742,5889.28501083001,3821.07221355742,2068.21279727259,0,5418481.7159591,4988732.42935419,1228823.86288742,6268496.01744871,2441290.4875021,2855817.2447551,971388.285191518,4266.55806619965,3634.99986583479,631.558200364864,0,2437655.48763627,2855185.68655473,971388.285191518,"Eastern Africa","surge",53741427.1205359,"MWI",0.222847346674359,"Y",0.658483593945378,0.779716391960583
"3","ZA","Zambia",0,10859842.726532,2889299.69966306,3613323.03888969,4357219.9879792,0,0,0,0,2889299.69966306,3613323.03888969,4357219.9879792,5752124.20283992,1148374.5103621,1633512.77687734,2970236.91560048,0,0,0,0,1148374.5103621,1633512.77687734,2970236.91560048,"Eastern Africa","surge",49835900.7881156,"ZMB",0.558803931617828,"Y",0.658483593945378,0.779716391960583
"4","ZI","Zimbabwe",3.45178748503631,13235197.5111317,3557991.42420884,5035413.23747803,4641792.84944481,13848.1359950644,607.314956579823,2030.92307209969,11209.8979663849,3557384.10925226,5033382.31440593,4630582.95147843,3290671.16235878,1367312.65981707,1100451.24996699,822907.252574724,11884.7329680946,1618.0674334791,8267.86247837543,1998.80305624008,1365694.59238359,1092183.38748861,820908.449518484,"Eastern Africa","surge",49603342.341222,"ZWE",0.349354889267612,"Y",0.658483593945378,0.779716391960583
"5","BC","Botswana",0,1891185.39682945,464199.006838596,779124.075767506,647862.314223349,0,0,0,0,464199.006838596,779124.075767506,647862.314223349,568230.445805905,270323.014971566,190935.81218267,106971.618651669,0,0,0,0,270323.014971566,190935.81218267,106971.618651669,"Southern Africa","surge",7378247.52790607,"BWA",0.120949829378265,"Y",0.575561959393868,0.654721907276822
"6","WA","Namibia",0,2054268.13573196,1361203.65292948,374189.626300962,318874.856501523,0,0,0,0,1361203.65292948,374189.626300962,318874.856501523,593377.572652131,200510.56278423,166398.955713308,226468.054154592,0,0,0,0,200510.56278423,166398.955713308,226468.054154592,"Southern Africa","surge",7942937.12515228,"NAM",1.07016797297998,"Y",0.575561959393868,0.654721907276822
"7","AO","Angola",0,15255449.34113,4415028.56365536,3200970.22395508,7639450.55351958,0,0,0,0,4415028.56365536,3200970.22395508,7639450.55351958,10098796.099007,569064.551630584,1784577.93543957,7745153.61193681,0,0,0,0,569064.551630584,1784577.93543957,7745153.61193681,"Middle Africa","surge",76062736.3204109,"AGO",0.786063998954129,"Y",0.344372894192391,0.266766557072792
"8","BY","Burundi",0,6705218.04759687,1180569.52635984,3873289.98186536,1651358.53937167,0,0,0,0,1180569.52635984,3873289.98186536,1651358.53937167,4411183.21067103,562292.508924091,2146260.07180976,1702630.62993719,0,0,0,0,562292.508924091,2146260.07180976,1702630.62993719,"Eastern Africa","surge",33349203.7748037,"BDI",2.13637230442853,"Y",0.658483593945378,0.779716391960583
"9","RW","Rwanda",0,8058861.12204695,1250590.22293407,5465146.76385155,1343124.13526133,0,0,0,0,1250590.22293407,5465146.76385155,1343124.13526133,3584854.72621044,357084.497480857,2444275.32896154,783494.899768042,0,0,0,0,357084.497480857,2444275.32896154,783494.899768042,"Eastern Africa","surge",34931147.5447722,"RWA",0.249596793968061,"Y",0.658483593945378,0.779716391960583
"10","SF","South Africa",-2.30006539094063,51103954.2100374,13781495.0952579,13836970.3814305,23485488.733349,1228.98269744986,943.268935896689,244.020171388984,41.6935901641846,13780551.826322,13836726.3612592,23485447.0397588,10910442.9259106,642169.180854338,2239086.83094608,8029186.91411016,-603.495211190184,-538.93162909766,-113.629376083612,49.0657939910889,642708.112483435,2239200.46032217,8029137.84831617,"Southern Africa","surge",186043814.595265,"ZAF",1.58912903353408,"Y",0.575561959393868,0.654721907276822
"11","LT","Lesotho",0,2129756.2602014,971158.911163535,873651.525113111,284945.823924755,0,0,0,0,971158.911163535,873651.525113111,284945.823924755,316760.433358379,84955.0604226105,174639.721809048,57165.6511267203,0,0,0,0,84955.0604226105,174639.721809048,57165.6511267203,"Southern Africa","surge",7339550.08067934,"LSO",0.0842626611400502,"Y",0.575561959393868,0.654721907276822
"12","WZ","Swaziland",12.3926451910141,1179715.81800131,632684.879472969,386949.53438604,160081.404142306,242.64584249258,0,242.64584249258,0,632684.879472969,386706.888543547,160081.404142306,251397.029290015,154438.786208508,58140.533041208,38817.7100402992,640.795729875565,1.76966118812561,639.026068687439,0,154437.016547319,57501.5069725206,38817.7100402992,"Southern Africa","surge",4294234.37609155,"SWZ",0.0133002999369638,"Y",0.575561959393868,0.654721907276822
"13","MF","Mayotte",0,146611.265528939,22608.3664889026,72280.8468018541,51722.0522381822,0,0,0,0,22608.3664889026,72280.8468018541,51722.0522381822,86781.0913440146,11051.4141354347,42915.1454319028,32814.5317766771,0,0,0,0,11051.4141354347,42915.1454319028,32814.5317766771,"Eastern Africa","surge",700177.070618861,"MYT",0.658483593945378,"N",0.658483593945378,0.779716391960583
"14","NG","Niger",0,11534103.7310988,2581333.54223123,4555133.64969615,4397636.53917145,0,0,0,0,2581333.54223123,4555133.64969615,4397636.53917145,8910990.35578108,2060231.95669513,3524037.98621202,3326720.41287393,0,0,0,0,2060231.95669513,3524037.98621202,3326720.41287393,"Western Africa","surge",61335282.2606397,"NER",0.21294335517329,"Y",0.266098533024611,0.206658118060722
"15","SU","Sudan",0,28714983.3074129,4159559.53184193,8361619.74279938,16193804.0327716,0,0,0,0,4159559.53184193,8361619.74279938,16193804.0327716,12301268.8505734,1547494.11104581,3111489.46258998,7642285.27693766,0,0,0,0,1547494.11104581,3111489.46258998,7642285.27693766,"Northern Africa","surge",123048756.473959,"SDN",0.642679382720939,"N",0.642679382720939,0.317874432469545
"16","LY","Libya",0,6237493.04788888,899986.377294238,1887455.40034119,3450051.27025345,0,0,0,0,899986.377294238,1887455.40034119,3450051.27025345,1104101.24254489,242236.850641598,419749.385969008,442115.005934284,0,0,0,0,242236.850641598,419749.385969008,442115.005934284,"Northern Africa","surge",22024782.8713013,"LBY",0.642679382720939,"N",0.642679382720939,0.317874432469545
"17","TS","Tunisia",0,11868257.8674284,1594120.04036359,4620796.77510472,5653341.05196009,0,0,0,0,1594120.04036359,4620796.77510472,5653341.05196009,1914788.66659282,291640.205580645,413976.517808176,1209171.943204,0,0,0,0,291640.205580645,413976.517808176,1209171.943204,"Northern Africa","surge",41349139.6020637,"TUN",0.283350543477321,"Y",0.642679382720939,0.317874432469545
"18","EG","Egypt",0,78520630.682619,1883122.69799528,12423885.1500179,64213622.8346058,0,0,0,0,1883122.69799528,12423885.1500179,64213622.8346058,26594178.7805792,720436.921312305,4484429.22938313,21389312.6298838,0,0,0,0,720436.921312305,4484429.22938313,21389312.6298838,"Northern Africa","surge",315344428.389594,"EGY",1.02752129097247,"Y",0.642679382720939,0.317874432469545
