iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
CD,Chad,0,8481508.145,1379675.415,2497503.522,4604329.208,0,0,0,0,1379675.415,2497503.522,4604329.208,5753105.29,909339.495,1933885.309,2909880.487,0,0,0,0,909339.495,1933885.309,2909880.487,Middle Africa,TCD,0.390777885,Y,0.344372894,0.266766557
MI,Malawi,1.345478048,11641927.29,5422302.788,4990800.642,1228823.863,5889.285011,3821.072214,2068.212797,0,5418481.716,4988732.429,1228823.863,6268496.017,2441290.488,2855817.245,971388.2852,4266.558066,3634.999866,631.5582004,0,2437655.488,2855185.687,971388.2852,Eastern Africa,MWI,0.222847347,Y,0.658483594,0.779716392
ZA,Zambia,0,10859842.73,2889299.7,3613323.039,4357219.988,0,0,0,0,2889299.7,3613323.039,4357219.988,5752124.203,1148374.51,1633512.777,2970236.916,0,0,0,0,1148374.51,1633512.777,2970236.916,Eastern Africa,ZMB,0.558803932,Y,0.658483594,0.779716392
ZI,Zimbabwe,3.451787485,13235197.51,3557991.424,5035413.237,4641792.849,13848.136,607.3149566,2030.923072,11209.89797,3557384.109,5033382.314,4630582.951,3290671.162,1367312.66,1100451.25,822907.2526,11884.73297,1618.067433,8267.862478,1998.803056,1365694.592,1092183.387,820908.4495,Eastern Africa,ZWE,0.349354889,Y,0.658483594,0.779716392
BC,Botswana,0,1891185.397,464199.0068,779124.0758,647862.3142,0,0,0,0,464199.0068,779124.0758,647862.3142,568230.4458,270323.015,190935.8122,106971.6187,0,0,0,0,270323.015,190935.8122,106971.6187,Southern Africa,BWA,0.120949829,Y,0.575561959,0.654721907
WA,Namibia,0,2054268.136,1361203.653,374189.6263,318874.8565,0,0,0,0,1361203.653,374189.6263,318874.8565,593377.5727,200510.5628,166398.9557,226468.0542,0,0,0,0,200510.5628,166398.9557,226468.0542,Southern Africa,NAM,1.070167973,Y,0.575561959,0.654721907
AO,Angola,0,15255449.34,4415028.564,3200970.224,7639450.554,0,0,0,0,4415028.564,3200970.224,7639450.554,10098796.1,569064.5516,1784577.935,7745153.612,0,0,0,0,569064.5516,1784577.935,7745153.612,Middle Africa,AGO,0.786063999,Y,0.344372894,0.266766557
BY,Burundi,0,6705218.048,1180569.526,3873289.982,1651358.539,0,0,0,0,1180569.526,3873289.982,1651358.539,4411183.211,562292.5089,2146260.072,1702630.63,0,0,0,0,562292.5089,2146260.072,1702630.63,Eastern Africa,BDI,2.136372304,Y,0.658483594,0.779716392
RW,Rwanda,0,8058861.122,1250590.223,5465146.764,1343124.135,0,0,0,0,1250590.223,5465146.764,1343124.135,3584854.726,357084.4975,2444275.329,783494.8998,0,0,0,0,357084.4975,2444275.329,783494.8998,Eastern Africa,RWA,0.249596794,Y,0.658483594,0.779716392
SF,South Africa,-2.300065391,51103954.21,13781495.1,13836970.38,23485488.73,1228.982697,943.2689359,244.0201714,41.69359016,13780551.83,13836726.36,23485447.04,10910442.93,642169.1809,2239086.831,8029186.914,-603.4952112,-538.9316291,-113.6293761,49.06579399,642708.1125,2239200.46,8029137.848,Southern Africa,ZAF,1.589129034,Y,0.575561959,0.654721907
LT,Lesotho,0,2129756.26,971158.9112,873651.5251,284945.8239,0,0,0,0,971158.9112,873651.5251,284945.8239,316760.4334,84955.06042,174639.7218,57165.65113,0,0,0,0,84955.06042,174639.7218,57165.65113,Southern Africa,LSO,0.084262661,Y,0.575561959,0.654721907
WZ,Swaziland,12.39264519,1179715.818,632684.8795,386949.5344,160081.4041,242.6458425,0,242.6458425,0,632684.8795,386706.8885,160081.4041,251397.0293,154438.7862,58140.53304,38817.71004,640.7957299,1.769661188,639.0260687,0,154437.0165,57501.50697,38817.71004,Southern Africa,SWZ,0.0133003,Y,0.575561959,0.654721907
MF,Mayotte,0,146611.2655,22608.36649,72280.8468,51722.05224,0,0,0,0,22608.36649,72280.8468,51722.05224,86781.09134,11051.41414,42915.14543,32814.53178,0,0,0,0,11051.41414,42915.14543,32814.53178,Eastern Africa,MYT,0.658483594,N,0.658483594,0.779716392
NG,Niger,0,11534103.73,2581333.542,4555133.65,4397636.539,0,0,0,0,2581333.542,4555133.65,4397636.539,8910990.356,2060231.957,3524037.986,3326720.413,0,0,0,0,2060231.957,3524037.986,3326720.413,Western Africa,NER,0.212943355,Y,0.266098533,0.206658118
SU,Sudan,0,28714983.31,4159559.532,8361619.743,16193804.03,0,0,0,0,4159559.532,8361619.743,16193804.03,12301268.85,1547494.111,3111489.463,7642285.277,0,0,0,0,1547494.111,3111489.463,7642285.277,Northern Africa,SDN,0.642679383,N,0.642679383,0.317874432
LY,Libya,0,6237493.048,899986.3773,1887455.4,3450051.27,0,0,0,0,899986.3773,1887455.4,3450051.27,1104101.243,242236.8506,419749.386,442115.0059,0,0,0,0,242236.8506,419749.386,442115.0059,Northern Africa,LBY,0.642679383,N,0.642679383,0.317874432
TS,Tunisia,0,11868257.87,1594120.04,4620796.775,5653341.052,0,0,0,0,1594120.04,4620796.775,5653341.052,1914788.667,291640.2056,413976.5178,1209171.943,0,0,0,0,291640.2056,413976.5178,1209171.943,Northern Africa,TUN,0.283350543,Y,0.642679383,0.317874432
EG,Egypt,0,78520630.68,1883122.698,12423885.15,64213622.83,0,0,0,0,1883122.698,12423885.15,64213622.83,26594178.78,720436.9213,4484429.229,21389312.63,0,0,0,0,720436.9213,4484429.229,21389312.63,Northern Africa,EGY,1.027521291,Y,0.642679383,0.317874432
ER,Eritrea,0,3672612.834,469619.1755,1423570.833,1779422.826,0,0,0,0,469619.1755,1423570.833,1779422.826,1761602.396,287684.3975,712651.697,761266.3011,0,0,0,0,287684.3975,712651.697,761266.3011,Eastern Africa,ERI,2.724930036,Y,0.658483594,0.779716392
ET,Ethiopia,0,67175938.51,10853167.83,26095442.99,30227327.69,0,0,0,0,10853167.83,26095442.99,30227327.69,33368935.09,3853472.824,14417752.27,15097710,0,0,0,0,3853472.824,14417752.27,15097710,Eastern Africa,ETH,0.08316212,Y,0.658483594,0.779716392
DJ,Djibouti,0,701885.9711,86713.2972,191218.8951,423953.7787,0,0,0,0,86713.2972,191218.8951,423953.7787,168680.6543,62296.01509,82275.91336,24108.72583,0,0,0,0,62296.01509,82275.91336,24108.72583,Eastern Africa,DJI,0.40972185,Y,0.658483594,0.779716392
SO,Somalia,0,7472429.355,1732213.8,3080769.795,2659445.76,0,0,0,0,1732213.8,3080769.795,2659445.76,3442475.923,1143419.1,1198233.419,1100823.404,0,0,0,0,1143419.1,1198233.419,1100823.404,Eastern Africa,SOM,0.658483594,N,0.658483594,0.779716392
OD,South Sudan,0,6959399.068,1292458.71,2720668.852,2946271.506,0,0,0,0,1292458.71,2720668.852,2946271.506,5749055.195,462979.2417,2117989.885,3168086.069,0,0,0,0,462979.2417,2117989.885,3168086.069,Northern Africa,SSD,0.642679383,N,0.642679383,0.317874432
KE,Kenya,0,31048638.43,11802373.68,13531898.75,5714365.995,0,0,0,0,11802373.68,13531898.75,5714365.995,14978084.74,1565311.879,10044643.03,3368129.828,0,0,0,0,1565311.879,10044643.03,3368129.828,Eastern Africa,KEN,0.415094512,Y,0.658483594,0.779716392
UG,Uganda,0,23783253.06,5923922.928,13411838.98,4447491.156,0,0,0,0,5923922.928,13411838.98,4447491.156,15319373.36,1525661.834,10137042.9,3656668.624,0,0,0,0,1525661.834,10137042.9,3656668.624,Eastern Africa,UGA,0.406323603,Y,0.658483594,0.779716392
TZ,Tanzania,5.219779719,34073091.19,13830539,14139234.98,6103317.2,18.98777441,18.98777441,0,0,13830520.02,14139234.98,6103317.2,19529253.74,2489685.442,11145902.4,5893665.898,56.80680338,56.80680338,0,0,2489628.635,11145902.4,5893665.898,Eastern Africa,TZA,0.388810233,Y,0.658483594,0.779716392
MZ,Mozambique,1.056216264,18997685.82,4304260.021,7630870.166,7062555.638,61183.66218,17348.94649,32485.31759,11349.39811,4286911.075,7598384.848,7051206.24,10106419.21,1919499.649,4285407.375,3901512.182,34378.3419,21140.22331,15881.4858,-2643.367211,1898359.426,4269525.889,3904155.549,Eastern Africa,MOZ,0.311256931,Y,0.658483594,0.779716392
CN,Comoros,0,513123.0667,78699.97906,168248.2847,266174.803,0,0,0,0,78699.97906,168248.2847,266174.803,221374.8118,44539.95156,82999.00292,93835.85737,0,0,0,0,44539.95156,82999.00292,93835.85737,Eastern Africa,COM,0.658483594,N,0.658483594,0.779716392
MA,Madagascar,2.125936962,16546777.04,7041925.228,7285634.277,2219217.532,162677.0761,48903.97661,40064.07527,73709.02426,6993021.251,7245570.202,2145508.508,8944287.686,2113346.677,4799513.531,2031427.479,186942.9473,23311.26229,69655.12211,93976.56291,2090035.415,4729858.409,1937450.916,Eastern Africa,MDG,0.304012171,Y,0.658483594,0.779716392
CV,Cabo Verde,0,437867.9399,69558.16464,296678.6405,71631.13474,0,0,0,0,69558.16464,296678.6405,71631.13474,63010.6627,1974.837077,21729.35029,39306.47533,0,0,0,0,1974.837077,21729.35029,39306.47533,Western Africa,CPV,0.266098533,N,0.266098533,0.206658118
WI,Western Sahara,0,334416.0657,59248.81404,238796.0391,36371.21252,0,0,0,0,59248.81404,238796.0391,36371.21252,291115.1692,41695.36578,180408.8646,69010.93881,0,0,0,0,41695.36578,180408.8646,69010.93881,Northern Africa,ESH,0.642679383,N,0.642679383,0.317874432
MR,Mauritania,0,2782571.585,978227.676,1129227.868,675116.0408,0,0,0,0,978227.676,1129227.868,675116.0408,1386415.645,87112.55178,665854.3218,633448.7714,0,0,0,0,87112.55178,665854.3218,633448.7714,Western Africa,MRT,0.093981435,Y,0.266098533,0.206658118
MO,Morocco,0,34431738.47,8028148.233,9888289.046,16515301.19,0,0,0,0,8028148.233,9888289.046,16515301.19,6464929.536,688743.7991,2005694.991,3770490.746,0,0,0,0,688743.7991,2005694.991,3770490.746,Northern Africa,MAR,0.642679383,N,0.642679383,0.317874432
SP,Spain (Canary Is),0,1839831.541,220474.1402,702129.973,917227.4274,0,0,0,0,220474.1402,702129.973,917227.4274,476649.3601,57643.68207,185799.7439,233205.9342,0,0,0,0,57643.68207,185799.7439,233205.9342,Southern Europe,ESP,0.787808416,Y,0.821498773,0.218724957
PO,Portugal (Madeira Is),0,309917.9885,57716.60295,118257.5499,133943.8357,0,0,0,0,57716.60295,118257.5499,133943.8357,-3054.638551,-4301.845659,-11358.0589,12605.266,0,0,0,0,-4301.845659,-11358.0589,12605.266,Southern Europe,PRT,1.122125444,Y,0.821498773,0.218724957
