,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
1,Albania,ALB,AL,Europe,30023.87452,26497.4708,20966.63765,0,0,0,16005.85562,11503.11219,18762.69368,77487.98297,20966.63765,46271.66149,0.597146289
2,Algeria,DZA,AG,Africa,11174.48146,73932.51796,91904.91291,0,0,0,4139.834716,10403.90386,94702.05084,177011.9123,91904.91291,109245.7894,0.617166314
3,American Samoa,ASM,AQ,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,Angola,AGO,AO,Africa,31556.55438,7131.522899,5614.245573,13.47889996,0,0,16030.10353,8412.810724,10381.54681,44302.32285,5627.724473,34824.46106,0.786063999
5,Anguilla,AIA,AV,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
6,Antigua & Barbuda,ATG,AC,Caribbean,469.549386,2.13644433,0,0,0,0,64.75038312,10.13876848,0,471.6858303,0,74.8891516,0.158769136
7,Argentina,ARG,AR,South America,74626.70096,33590.73992,29880.04901,0,0,0,57166.76559,13292.53188,20578.02122,138097.4899,29880.04901,91037.31869,0.659225007
8,Aruba,ABW,AA,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
9,Australia,AUS,AS,Australia,22245.30955,16249.59196,71770.87533,0,0,0,13477.93837,16408.37054,74156.07781,110265.7768,71770.87533,104042.3867,0.943560094
10,Austria,AUT,AU,Europe,15881.74972,19531.02846,7031.875622,0,0,0,12303.40181,16144.93981,8987.87814,42444.6538,7031.875622,37436.21976,0.882000827
11,Bahrain,BHR,BA,SW Asia,160.2285228,576.8591652,18875.69146,0,0,0,389.069842,1196.165147,9641.51168,19612.77915,18875.69146,11226.74667,0.572419981
12,Bangladesh,BGD,BG,S Asia,1502982.633,14900000,24500000,0,0,0,25100000,7097476.944,9776472.654,40902982.63,24500000,41973949.6,1.026183102
13,Barbados,BRB,BB,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
14,Belarus,BLR,BO,Europe,18686.87193,50228.15279,82966.72499,0,0,0,64977.78832,27780.64289,58275.59684,151881.7497,82966.72499,151034.0281,0.994418542
15,Belgium,BEL,BE,Europe,4010.641838,17960.06096,22742.98213,0,0,0,2386.411718,15237.94566,17832.99484,44713.68493,22742.98213,35457.35222,0.792986583
16,Belize,BLZ,BH,Central America,9444.114378,746.0607769,167.8571719,0,0,0,2532.909557,292.0406919,157.0515537,10358.03233,167.8571719,2982.001803,0.287892691
17,Benin,BEN,BN,Africa,21168.59617,84386.92464,45494.34378,0,0,0,13085.60797,37553.99803,9001.111482,151049.8646,45494.34378,59640.71748,0.394841251
