unit_id,MEAN,unit_name,P10_bh_2,P10_bh_5,P10_bh_10,P10_bh_25,P10_bh_50,P10_bh_100,P10_bh_250,P10_bh_500,P10_bh_1T,P30_24_2,P30_24_5,P30_24_10,P30_24_25,P30_24_50,P30_24_100,P30_24_250,P30_24_500,P30_24_1T,P30_28_2,P30_28_5,P30_28_10,P30_28_25,P30_28_50,P30_28_100,P30_28_250,P30_28_500,P30_28_1T,P30_38_2,P30_38_5,P30_38_10,P30_38_25,P30_38_50,P30_38_100,P30_38_250,P30_38_500,P30_38_1T,P30_b4_2,P30_b4_5,P30_b4_10,P30_b4_25,P30_b4_50,P30_b4_100,P30_b4_250,P30_b4_500,P30_b4_1T,P30_b8_2,P30_b8_5,P30_b8_10,P30_b8_25,P30_b8_50,P30_b8_100,P30_b8_250,P30_b8_500,P30_b8_1T,P30_2h_2,P30_2h_5,P30_2h_10,P30_2h_25,P30_2h_50,P30_2h_100,P30_2h_250,P30_2h_500,P30_2h_1T,P30_3h_2,P30_3h_5,P30_3h_10,P30_3h_25,P30_3h_50,P30_3h_100,P30_3h_250,P30_3h_500,P30_3h_1T,cc,region,continent,system.index,country,pop2010,pop2030,newclimateadds,newclimateONLY,newpopONLY,relexpcc,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,ccc,absolutechangef,relexp,cc_inc_flood,pop_inc_flood,cc_pop_inc_flood,onlypop_inc_flood,onlycc_inc_flood,none_inc_flood
0,0.298036407,AFGHANISTAN,0,2444396.5,3041682.75,3377498.5,3518291.75,3582677.75,3780256,3885927.25,3952661,264322.2726,3549449.838,5164428.65,6041251.8,6331319.15,6583085.65,6887704.8,7008756.5,7161793.25,67260.92998,3107239.488,5092798.3,5969320,6347531.05,6533324.85,6824116.9,7009772,7186531.05,77984.65703,3188303.338,5189628.7,6100285.1,6505039.75,6710350.95,7019025.3,7212127.7,7392809.95,137750.5496,2046296.616,2862195.442,3305791.084,3485970.606,3609196.655,3804220.73,3880106.93,3953210.28,46747.58629,1827719.332,2835292.473,3269076.166,3496026.404,3598348.735,3793400.094,3894039.207,3980198.607,0,4316302.45,5486478.45,6174342.4,6396033.15,6518582.45,6830190.4,7033739.8,7164039.05,0,4382025.85,5584075.4,6306523.9,6550362.95,6687341.35,7008534.9,7213206.9,7355085.25,AF,Southern Asia,Asia,2,Afghanistan,31577531.25,51777079.91,-23967.8,8111.956813,3147812.55,1.10014479,6724015.893,8373806.32,8760308.921,33580.02769,27472.23974,37869.94501,6690435.865,8346334.08,8722438.976,2010220.705,6545992.857,6988809.553,5466.104674,39493.13666,-17429.26133,2004754.6,6506499.72,7006238.815,AFG,27529.98,0.773986855,1,0,0,0,1,0
2,0.267749876,ALBANIA,0,147420.1875,193511.7344,229960.75,232289.5313,235172.9688,237636.3281,239194.1563,244523.3906,19332.42253,188319.6307,206360.8889,229989.5759,230491.9919,233558.9732,235508.8418,236602.9259,241437.1075,2930.113701,173154.9876,193696.8587,225992.3468,226371.2468,231905.9614,233514.0725,234944.4635,239916.9384,3778.749638,181650.1479,205302.9453,243806.8759,244267.3259,251430.028,253552.161,255317.583,260746.3954,17810.86937,184381.4683,207251.0333,235221.5047,236895.2232,240578.5415,243161.628,244601.9659,249867.2752,3920.407089,172129.0369,193083.3252,230567.0264,231026.5951,238114.9027,240254.8107,242053.8525,247538.9826,0,144058.3966,192403.554,224811.1152,225465.9027,227936.0694,229904.6903,230927.7349,235773.6541,0,152760.2703,205948.7719,243516.9188,245729.825,248846.1031,251288.7594,252814.6156,258112.9094,AL,Southern Europe,Europe,3,Albania,3105610.008,3203584.031,4016.728688,2859.696261,-8266.421395,0.952194015,1733375.173,1222597.619,1168945.573,48457.59315,37943.17519,23891.42626,1684917.58,1184654.444,1145054.147,-565910.7961,-117028.9261,390710.3685,-10396.3469,-4112.939414,2210.939796,-555514.4492,-112915.9867,388499.4287,ALB,-12298.34652,0.956228916,0,0,0,0,0,1
3,0.341606642,ALGERIA,0,1139277.375,1279176.875,1440268.375,1491018.75,1531123.5,1561577.125,1592405.375,1623483.75,33310.1868,991079.1938,1395311.95,1715577.8,1821464.225,1906382.05,1992988.5,2033283.2,2066975.15,307.106039,702771.408,1303785.967,1622465.462,1718312.712,1822228.013,1922992.635,1984697.754,2032573.926,373.737838,716577.9469,1334844.625,1668987.6,1767848.325,1876691.225,1982017.375,2046192.7,2096477.025,23973.98617,777093.625,1076099.888,1326175.625,1402369.375,1465633.1,1532487.375,1565548.3,1593302.425,321.003393,557439.248,997929.1495,1252658.763,1321299.312,1399438.262,1477248.292,1526230.206,1564589.284,0,1470363.925,1661679.35,1863948.2,1935850.6,1992362.175,2030177.45,2067374.025,2104266.8,0,1504180.275,1708870.5,1919016.5,1993990.475,2053318.5,2094308.725,2133623.975,2173342.825,DZ,Northern Africa,Africa,4,Algeria,33795391.25,42455150.47,-82676.27058,-66175.16906,474968.65,0.9921283,6207355.03,15600000,1.60E+07,8635.480558,44405.56443,121873.0649,6198719.55,15500000,15900000,1149412.733,3599738.112,5612211.15,8211.068531,48797.57723,-3469.753164,1141201.665,3550940.534,5615680.904,DZA,53538.8926,1.025134287,0,1,0,0,0,0
6,0.649793367,ANGOLA,0,167222.4844,180346.1875,193922.0313,203966.5156,209658.875,222071.6406,227339.2031,233887.5156,31346.35303,221222.9734,239398.25,251068.2344,265237.3313,273793.1406,288230.7906,295897.0344,304858.7813,31682.58032,220894.0391,238237.8625,253003.4625,265149.9688,273886.95,289231.3313,298212.8469,306668.675,34019.41177,256546.3234,281641.1906,301215.1094,315684.0156,326684.7969,344511.2094,355064.2594,364951.4938,19957.29661,170558.5266,184126.6219,193000.4438,204928.8625,210895.8781,222579.8781,228569.3813,235346.7844,19837.93147,170462.325,183132.3344,194490.1063,205287.2,211495.3063,223428.5969,230102.2625,236468.5719,0,217174.6859,234833.525,252009.3781,263488.9781,271329.275,287602.4344,293895.9031,303101.5063,0,251558.5422,277337.8313,300244.0656,313666.1406,323696.2594,342467.8844,350409.8344,360820.1563,AO,Middle Africa,Africa,6,Angola,18910721.95,31573923.38,4316.94375,2763.059375,66556.7,0.785654448,4427854.171,3181369.592,7637813.729,26807.00585,649.2047434,435.7715863,4401047.165,3180720.388,7637377.957,542778.3333,1771698.346,7591738.585,5939.732697,2243.765748,379.5745534,536838.6006,1769454.581,7591359.011,AGO,8563.072998,0.79223518,0,0,0,0,0,1
10,0.557768754,ARGENTINA,0,2175962,2722225,3150123.25,3444620.25,3691236.25,4143626.25,4415434,4750150,643518.7711,2524444.825,3222574.7,3763775,4121140.5,4416277.65,4964863.2,5326768.75,5755256.8,422248.5984,2315191.4,3036362.8,3630529.8,3945574.8,4269745.45,4820226.8,5176100.75,5579757.7,442210.6047,2422291.525,3178751.8,3808074.8,4142454.5,4485695.5,5061330.1,5436706.85,5857315.5,554447.4133,2200985.875,2805124.2,3254425.2,3550645.7,3794441.9,4268582.85,4570028.95,4943342.8,362448.6391,2018557.875,2643722.55,3139173.95,3400007,3668233.15,4144259.6,4440397.95,4793703.6,0,2492876.725,3124185.65,3640945.45,3997874.95,4297718.1,4821066.6,5148548.55,5531474.5,0,2608422.425,3270729.15,3818997,4197050.35,4514682.3,5061999,5407685.95,5806234.3,AR,South America,Americas,9,Argentina,38559555.89,44050273.14,27552.2,24963.95,733114.55,1.02615447,4371496.199,10700000,28600000,33118.82599,30758.85966,32494.27046,4338377.373,10700000,28500000,1281766.706,1833824.423,4507775.266,60325.65244,15836.35851,3186.563136,1221441.054,1817988.065,4504588.703,ARG,79348.57409,1.552356716,1,1,1,0,0,0
13,0.594011272,AUSTRALIA,0,748215.625,913040.6875,997336.8125,1073774.5,1133086,1216756.75,1262562.5,1312436.75,131975.5079,911881.6875,1163112.1,1303431.713,1409197.988,1483279.113,1607288.15,1671851.325,1731306.45,164613.8695,893834.95,1144575.725,1288016.188,1396339.663,1475106.088,1592280.3,1663525.075,1735227.025,149435.9852,817803.45,1046071.488,1172040.688,1271498.813,1342580.338,1450211.4,1514707.575,1579981.5,99837.96199,707977.2125,902755.4625,999443.8375,1082530.7,1137609.188,1234460.063,1282818.775,1328369.15,123063.2988,694902.95,889096.65,987858.3,1073176.038,1131236.863,1223033.75,1276198.475,1330679.95,0,962024.4625,1174951.788,1298891.938,1395969.513,1476916.888,1583107.25,1644498.175,1709817.95,0,879706.775,1073646.65,1181911.838,1271160.788,1344221.963,1441891.775,1497445.225,1556924.225,AU,Australia and New Zealand,Oceania,11,Australia,20932083.53,27837833.11,19026.9,13635.975,381935.675,0.990725857,4162933.539,4789231.701,13200000,17510.91508,12332.38399,68194.42859,4145422.624,4776899.317,13100000,1070158.471,1223033.58,3349440.231,7828.647205,3468.73275,16924.57983,1062329.823,1219564.848,3332515.651,AUS,28221.95979,1.02640725,0,1,0,0,0,0
14,0.275932934,AUSTRIA,0,329747,557718.375,599215.875,648336.0625,682195.25,715979,744638.25,757582.0625,1191.952402,379794.2211,633468.5688,695071.7625,759694.4844,804384.575,856080.7031,885565.1188,905912.4875,39857.11831,390762.2688,609117.9953,745684.6688,820823.5313,865085.85,915908.7031,946968.1219,969239.425,36101.6944,376112.0922,580249.1531,703899.8031,774456,815435.2125,861495.2844,890029.575,909634.775,1106.749966,362852.4289,598592.15,653749.775,714578.0531,755203.0125,800961.7906,827735.7125,845408.0125,35574.03235,375507.9344,577097.8328,698778.1281,768498.2594,808817.6094,853969.7719,882022.7,901165.425,0,340896.6016,585723.3297,632663.6031,683382.7156,720006.6469,757753.1625,789483.2656,804746.15,0,330042.4969,560009.9094,602259.4938,651458.0125,685752.4219,720156.4344,749311.05,762622.8406,AT,Western Europe,Europe,12,Austria,8506216.431,9052442.365,157484.8563,137384.45,44845.01563,1.194980116,5151161.202,3246041.679,3593056.475,22415.50155,27934.14465,10760.25274,5128745.7,3218107.534,3582296.223,72835.81938,199810.4417,464711.3535,2304.128764,-278.1940742,1915.230919,70531.69061,200088.6358,462796.1226,AUT,3941.165609,1.002806675,1,1,1,0,1,0
15,0.203443347,AZERBAIJAN,0,299827.5313,371840.625,432925.5,462736.2188,513144.5,538968.5625,564888.9375,580018.125,1551.201218,300389.3845,378287.2035,440016.2458,471558.1546,520765.051,546403.5492,568978.5977,592645.594,743.254721,276982.225,368681.9908,439456.415,468582.9058,532683.2266,553802.2646,586561.9237,624011.8523,670.651841,306327.3994,404828.8962,482040.5603,513882.8472,579166.991,604444.2154,639591.9118,677102.1447,1204.493275,290963.3164,369764.7973,429340.1024,459900.814,506394.9976,530968.136,553260.4239,576448.016,544.143135,269866.6769,358943.1884,427995.4372,456044.7287,515005.9325,534665.5606,566047.7808,597794.7726,0,310124.2313,381034.675,443885.5875,475432.55,527910.5938,554617.2813,580498.4813,596978.6813,0,341176.5813,419333.4188,486688.5813,521584.525,576506.8063,608154.75,637050.7,654533.3375,AZ,Western Asia,Asia,13,Azerbaijan,8432518.329,9773686.796,6063.442445,1158.843348,15609.54375,0.895879655,2136823.79,4228129.77,3931285.267,7190.398343,6579.441077,10243.46905,2129633.391,4221550.329,3921041.798,583509.3301,649106.6537,863195.7074,13880.00385,12942.85606,3805.363063,569629.3262,636163.7976,859390.3443,AZE,30628.22297,1.890550185,0,1,0,1,0,0
18,0.727852961,BANGLADESH,0,20962774,26852472,34382172,39199248,43641180,49104536,52461140,56188060,16392426.2,32928038,41119743.6,51486834.4,57987238.4,63349273.6,69909636.8,73665724,78099431.2,17178722.6,33828042.8,41970253.2,51609616.8,57750203.2,62675597.6,69289324.8,72921359.2,77196648.8,18451745.6,36411019.6,45204687.6,55490003.2,62009984.8,67284620,74297673.6,78187900,82671962.4,13837150,27209413.2,33969755.2,42486497.6,47734309.6,51963863.2,57383848,60311495.2,63894833.6,14608868.8,27980331.6,34604776.8,42457511.2,47412740.8,51347215.2,56766823.2,59625640,63142279.2,0,25658466,32794127.2,41889051.2,47776861.6,53345867.2,60056587.2,64261967.2,68809672.8,0,27583648,35387626,45190390.4,51494539.2,57428455.2,64516799.2,69031693.6,73792525.6,BD,Southern Asia,Asia,16,Bangladesh,142988551.8,174497920.2,8659392,7164500,11800827.2,1.139011329,7799291.569,34800000,97800000,2348558.614,10500000,17200000,5450732.955,24300000,80700000,1183090.95,8836008.989,21600000,622038.9641,4783012.789,8880096.092,561051.9858,4052996.199,12700000,BGD,14285147.85,1.204204974,1,1,1,0,0,0
20,0.972257067,BELARUS,0,284031.625,355729.5,436630.375,449034.7813,466511.1875,476792.9375,522319.0938,543486.1875,29051.10459,186769.5665,266023.1969,363006.3035,363840.6035,385867.0039,402576.332,441980.5686,458824.7764,11705.4349,167279.1033,274754.2948,374044.5173,377904.8121,390587.5385,398416.3112,438151.658,468139.9729,11594.16512,170186.8216,281475.2891,385355.8373,390394.5311,404425.4152,413188.0081,454020.1107,484109.8732,30117.04421,202826.1195,294018.0319,402920.6082,405521.1582,430605.7296,450899.7163,492612.3136,511341.4387,12186.66764,181133.2507,301990.2963,413387.1907,420261.409,436445.6734,446801.0491,489302.384,521135.1924,0,258391.3656,320108.3,394513.575,403059.9438,416895.2375,423817.8375,467039.9188,486290.3625,0,264836.9438,330293.0938,407357.5875,416834.3188,432092.775,440385.45,484289.1,504049.225,BY,Eastern Europe,Europe,31,Belarus,9550061.91,8870990.467,-26307.69904,-26307.69904,-49615.95,0.866236825,3251597.04,5235017.71,8267130.21,41821.9606,116884.234,127301.352,3209775.08,5118133.48,8139828.86,-333117.37,-1039192.9,601721.397,-4341.6582,-33678.157,2267.38034,-328775.72,-1005514.8,599454.016,BLR,-35752.43464,0.917177318,0,0,0,0,0,1
