ID,ThreshType,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,geometry
1586,otsu,0,Australia,0,143.6978,-31.268059,468962.971,2/18/2000,3/1/2000,News,1,200,Monsoonal rain,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>145.155055,-32.532333 142.309559,-32.713978 140.412567,-32.03565 140.277083,-29.682658 141.406266,-27.193628 141.903124,-23.52823 141.948307,-21.175197 144.206637,-21.174687 144.432454,-23.437158 144.658261,-27.147643 145.651912,-29.093187 146.239064,-31.038823 145.155055,-32.532333</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1587,otsu,0,Madagascar,0,47.29567,-15.782624,255303.3537,2/17/2000,3/11/2000,News,200,800000,Tropical cyclone,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>49.132955,-13.567222 49.265771,-12.761621 49.531403,-12.582599 49.974122,-12.940643 50.37257,-14.507089 50.461113,-15.491712 50.106938,-15.849757 49.797034,-17.371447 49.664219,-18.400826 48.424605,-18.937893 45.281297,-18.982649 44.130227,-18.087537 44.572947,-17.102914 45.148482,-16.342069 46.609455,-15.760246 48.203245,-14.775623 48.380333,-13.835755 49.132955,-13.567222</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1595,otsu,0,Romania,Hungary,22.415404,46.763746,116230.1541,4/5/2000,4/25/2000,News,10,623,Snowmelt,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.176905,47.759849 22.73156,45.768502 22.460548,44.048924 20.382888,44.500959 20.111903,46.582418 20.653923,49.478569 22.550915,48.845492 24.176905,47.759849</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1614,otsu,0,Thailand,Vietnam,105.063841,11.242567,119919.5595,7/11/2000,8/10/2000,News,33,25000,Monsoonal rain,1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>104.293613,10.551334 103.304992,13.177018 105.236289,13.499935 105.926026,12.025897 106.82269,10.874386 107.399414,10.455247 107.237379,10.33731 107.115017,10.256616 106.713782,10.511114 106.986335,10.182129 106.567017,9.966079 106.550347,9.582708 106.168386,9.550396 105.356852,8.842934 104.878255,8.718088 104.670169,10.028973 104.293613,10.551334</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>102.2704,17.322955 103.14408,17.277084 103.19006,16.77034 102.270396,16.770132 102.2704,17.322955</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
1627,otsu,0,China,Russia,132.057679,43.773883,81863.87183,8/30/2000,9/10/2000,News,31,14140,Tropical cyclone,1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>133.739814,42.984818 133.001263,42.80172 132.317925,42.85173 132.284595,43.28508 131.917914,43.201745 130.934538,42.601735 130.767876,42.601737 130.701203,42.285058 130.305455,42.634373 131.117884,42.918409 131.06793,44.701809 131.637145,45.262709 132.933791,45.017398 133.809903,43.931019 133.739814,42.984818</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>120.387867,33.873253 119.932289,33.277497 119.16131,33.102274 118.705732,33.347586 118.635643,33.943342 119.476711,34.819454 120.387867,33.873253</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>126.135162,37.903368 126.485607,38.499124 127.642074,38.604258 127.992519,38.008502 127.466852,37.482834 126.682298,37.426352 126.544266,37.460062 126.701017,37.834889 126.135162,37.903368</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
1631,std,0,China,0,113.483009,25.229313,25899.57821,9/1/2000,9/6/2000,News,47,46000,Heavy rain,1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>113.260696,24.595227 113.254125,24.947862 113.037287,25.201934 112.781025,25.436294 112.816069,25.940059 112.991291,26.130613 113.477534,26.082427 113.961585,25.631229 114.022913,25.414391 114.184994,24.93253 113.801695,24.667506 113.746938,24.430956 113.418396,24.328013 113.260696,24.595227</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>116.140914,24.019183 116.644678,24.119936 116.951318,23.813297 117.144062,23.493516 116.96884,23.375241 116.675342,23.221921 116.443173,23.068602 116.119011,23.221921 115.974453,23.804536 116.140914,24.019183</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
1641,otsu,0,India,0,88.5453,24.084064,155000.8817,9/18/2000,10/21/2000,News,1468,24000000,Monsoonal rain,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>87.707718,21.702726 87.2482,22.176737 86.832028,22.946653 86.415857,23.841422 86.769603,24.777807 87.664371,26.442492 88.116534,26.484265 88.433209,26.550937 89.033231,26.300918 89.316572,26.017561 89.816587,25.36751 89.683246,23.967393 89.349907,23.950723 90.349935,23.384011 90.674743,22.689665 90.199931,21.800541 90.083259,22.067229 89.849923,22.033893 89.616579,21.850544 89.366572,21.833874 89.299906,21.750536 89.083232,22.017225 89.083232,21.667195 88.833225,21.683862 88.599889,21.617191 88.299879,21.667194 88.097862,22.047572 87.935359,21.864108 87.707718,21.702726</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1725,std,0,Russia,0,106.619051,58.489746,2856609.94,5/12/2001,6/8/2001,News,7,70000,Snowmelt,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>77.737626,61.748117 81.635053,62.186965 85.862542,64.382635 87.78408,65.260881 92.174111,62.24088 98.375517,59.165808 103.20694,61.690831 112.100327,64.325277 121.707542,67.563575 124.671489,67.178986 128.51259,64.104134 134.001581,63.884014 137.239892,63.279793 136.41514,59.875968 130.072833,59.145252 123.890657,59.305828 118.849632,58.77958 114.623466,59.823107 109.197954,57.378916 103.477514,52.192822 99.855483,54.059817 97.056724,55.707128 94.531231,54.444627 94.914256,51.479902 89.424726,50.382383 86.131637,51.261118 81.819746,51.718612 79.25053,54.247684 77.023238,59.771725 77.737626,61.748117</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1747,otsu,0,India,0,84.798732,21.055916,105057.2949,7/8/2001,8/10/2001,News,100,2000000,Monsoonal rain,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>86.9813,21.395717 86.844076,21.232353 86.824468,21.153937 86.948628,20.859877 87.013972,20.703049 86.76566,20.493941 86.798332,20.467801 86.791796,20.350177 86.550012,20.219487 86.406252,20.010379 86.3213,19.938497 85.628628,19.735923 85.308432,19.566023 84.432792,19.931963 82.969036,20.141071 82.583493,21.369577 83.132402,22.545809 84.76606,22.382445 86.308236,21.663637 86.9813,21.395717</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1772,std,0,Sudan,Ethiopia,34.427661,14.996666,557928.1071,8/6/2001,9/13/2001,News,5,45000,Heavy rain,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>31.636094,9.574972 30.886064,12.889055 31.950056,15.592647 32.362575,16.665062 33.925971,18.041782 35.668267,16.812846 36.376075,14.969446 37.592732,14.607143 37.44446,12.583807 34.723422,6.836496 31.636094,9.574972</coordinates></LinearRing></outerBoundaryIs></Polygon>"
