country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
,Chad,CD,131718.7893,226407.5907,122855.533,0,0,0,146376.7063,14810.54345,26769.8448,,Africa,
Mal.,Malawi,MI,29272.8339,20181.94354,25105.91498,13.87614194,0,0,11040.34102,3152.798921,2422.512531,,Africa,
Zam.,Zambia,ZA,95179.47317,101865.2776,8174.261369,118179.1611,2474.914388,3928.681919,103244.8476,3119.289192,8313.054034,,Africa,
Zimb.,Zimbabwe,ZI,16312.7384,68046.22438,16193.26375,27.18653399,0,0,13075.1559,1218.493715,20834.76235,,Africa,
Bots.,Botswana,BC,2605.908604,4427.453527,0,0,0,0,850.6839497,0,0,,Africa,
Nam.,Namibia,WA,16694.05063,1603.323093,0,0,0,0,17106.13973,2475.123618,0,,Africa,
Ang.,Angola,AO,31556.55438,7131.522899,5614.245573,13.47889996,0,0,16030.10353,8412.810724,10381.54681,,Africa,
Buru.,Burundi,BY,1137.919735,1155.976198,92.40636587,0,0,0,4252.135698,845.8944433,0,,Africa,
Rw.,Rwanda,RW,179.4021716,3618.917369,0,0,0,0,830.6606533,117.3877265,0,,Africa,
S. Afr.,South Africa,SF,18328.66055,7608.664767,92473.5769,0,0,0,17560.40469,10540.06401,160069.7339,,Africa,
Leso.,Lesotho,LT,531.2649689,0,0,0,0,0,44.76580005,0,0,,Africa,
Swaz.,Swaziland,WZ,114.1094027,1308.122071,0,0,0,0,18.91610518,0,0,,Africa,
May.,Mayotte,MF,0,0,0,0,0,0,0,0,0,,Africa,
,Niger,NG,6181.737632,7646.629462,915.7173389,0,0,0,2473.147206,483.1092805,183.3983216,,Africa,
,Sudan,SU,35662.59008,130707.7338,139080.2711,0,0,0,27.74323776,0,0,,Africa,
,Libya,LY,0,0,0,0,0,0,0,0,0,,Africa,
,Koualou Area,UU,0,0,0,0,0,0,0,0,0,,Africa,
Tun.,Tunisia,TS,8374.355209,10648.47616,4997.353101,0,0,0,2541.857998,2263.227998,2001.046328,,Africa,
,Egypt,EG,25910.95345,79580.70772,133715.4057,0,0,0,112407.6264,36755.1036,96627.62416,,Africa,
,Bir Tawil,EG,0,0,0,0,0,0,0,0,0,,Africa,
,Halaib Triangle,SU,0,0,0,0,0,0,68.44027563,0,0,,Africa,
Erit.,Eritrea,ER,874.3066853,374.3112427,796.8261001,0,0,0,3278.154739,1945.710997,349.826133,,Africa,
Eth.,Ethiopia,ET,43806.21301,191915.5088,225143.393,0,0,0,31796.14329,2651.600147,3878.776401,,Africa,
Dji.,Djibouti,DJ,454.4603203,3567.381138,16685.83101,0,0,0,2490.072201,90.36311519,5903.95056,,Africa,
Som.,Somalia,SO,57131.24234,221472.3849,5547.353391,0,0,0,0,0,0,,Africa,
S. Sudan,South Sudan,OD,18232.32864,54232.0724,126351.0948,42117.84544,1465.857122,4462.333126,591.2467593,0,0,,Africa,
,Abyei Area,UU,0,0,0,0,0,0,0,0,0,,Africa,
,Kenya,KE,67677.64507,67758.77517,11211.09781,155.6358376,0,0,36711.59295,9275.309887,14885.67704,,Africa,
Ug.,Uganda,UG,12630.48948,41688.84452,1821.375664,0,0,0,16795.95852,4541.937574,1473.399342,,Africa,
Tanz.,Tanzania,TZ,139684.8018,179275.8954,59084.25201,0,0,0,56578.29442,8919.179601,81490.27075,,Africa,
Moz.,Mozambique,MZ,131889.9309,172369.6786,70432.36077,68091.37385,5964.107981,14706.9771,82176.28918,10196.18202,24253.00144,,Africa,
Como.,Comoros,CN,0,0,0,0,0,0,0,0,0,,Africa,
