country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
,Cuba,CU,24735.18439,34817.36771,2940.691725,0,0,0,0,0,0,,Caribbean,
P.R.,Puerto Rico,RQ,188.3017076,2624.79111,2801.031398,0,0,0,240.335953,2115.89174,2817.876728,,Caribbean,
Vir. Is.,US Virgin Is,VQ,4.62446022,0.09338389,0,0,0,0,0,84.0913037,0,,Caribbean,
Br. Vir. Is.,British Virgin Is,VI,0,0,0,0,0,0,0,0,0,,Caribbean,
Anti. & Barb.,Antigua & Barbuda,AC,469.549386,2.13644433,0,0,0,0,64.75038312,10.13876848,0,,Caribbean,
St. Barth.,St Barthelemy,TB,0,0,0,0,0,0,0,0,0,,Caribbean,
Neth.,Netherlands (Caribbean),NL,0,0,0,0,0,0,0,0,0,,Caribbean,
Angu.,Anguilla,AV,0,0,0,0,0,0,0,0,0,,Caribbean,
St. Mar.,St Martin,RN,0,0,0,0,0,0,0,0,0,,Caribbean,
St. Maar.,Sint Maarten,NN,0,0,0,0,0,0,0,0,0,,Caribbean,
St. Kitts & Nev.,St Kitts & Nevis,SC,0,0,0,0,0,0,0,0,0,,Caribbean,
Monts.,Montserrat,MH,0,0,0,0,0,0,0,0,0,,Caribbean,
Guad.,Guadeloupe,GP,192.4065208,1048.346772,0,0,0,0,227.3758798,962.4190571,0,,Caribbean,
Dom.,Dominica,DO,0,895.661705,0,0,0,0,0,177.9548675,0,,Caribbean,
Trin. & Tob.,Trinidad & Tobago,TD,0,0,0,0,0,0,0,0,0,,Caribbean,
Gren.,Grenada,GJ,0,0,0,0,0,0,0,0,0,,Caribbean,
Mart.,Martinique,MB,0,0,0,0,0,0,0,0,0,,Caribbean,
St. Luc.,Saint Lucia,ST,0,0,0,0,0,0,0,0,0,,Caribbean,
St. Vin. & Gren.,St Vincent & the Grenadines,VC,0,0,0,0,0,0,0,0,0,,Caribbean,
Barb.,Barbados,BB,0,0,0,0,0,0,0,0,0,,Caribbean,
Cur.,Curacao,UC,0,0,0,0,0,0,0,0,0,,Caribbean,
,Aruba,AA,0,0,0,0,0,0,0,0,0,,Caribbean,
Dom. Rep.,Dominican Republic,DR,19969.36029,11901.53825,26179.57213,0,0,0,6390.388175,2028.512253,21099.8195,,Caribbean,
,Haiti,HA,10493.6478,39584.80637,50784.02412,0,0,0,1780.410733,2824.52291,39032.64583,,Caribbean,
Jam.,Jamaica,JM,883.8198321,2345.594765,2548.892403,0,0,0,188.014518,315.7591464,0,,Caribbean,
Nav. I.,Navassa I,BQ,0,0,0,0,0,0,0,0,0,,Caribbean,
,Cuba,CU,106.7024448,0,0,0,0,0,0,0,0,,Caribbean,
Cay. Is.,Cayman Is,CJ,75.53510715,797.2664648,0,0,0,0,984.6500874,667.9684296,0,,Caribbean,
