country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
H.K.,Hong Kong,HK,1642.095519,10845.04937,972617.0062,0,0,0,2088.239618,8380.814068,1042258.219,,E Asia,
,Macau,MC,0,0,278883.5889,0,0,0,0,0,268975.525,,E Asia,
Tai.,Taiwan,TW,36585.25012,35134.59352,14016.25475,0,0,0,58028.27807,31903.92602,13790.12967,,E Asia,
,Senkakus,UU,0,0,0,0,0,0,0,0,0,,E Asia,
,Japan,JA,19772.42061,64450.01984,260115.2871,0,0,0,13114.51726,30049.01795,223007.2873,,E Asia,
S. Kor.,"Korea, South",KS,8885.087796,39824.33089,227229.0891,0,0,0,8681.014096,14319.86254,200753.6264,,E Asia,
N. Kor.,"Korea, North",KN,25228.62109,90538.66255,375754.5334,0,0,0,0,0,0,,E Asia,
,Korean Is. (UN Jurisdiction),UU,0,0,0,0,0,0,0,0,0,,E Asia,
,China,CH,1512443.387,2065321.453,2977173.615,0,0,0,0,0,0,,E Asia,
,China,CH,38407.1542,16301.07943,55900.99977,0,0,0,1.180200721,0,0,,E Asia,
,China,CH,259543.1112,2661327.532,8991219.031,0,0,0,13.86557403,0,0,,E Asia,
,China,CH,1988237.515,1.13E+07,2.07E+07,0,0,0,703.3357349,15.3657076,3970.937692,,E Asia,
,Liancourt Rocks,UU,0,0,0,0,0,0,0,0,0,,E Asia,
