country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Rus.,Russia,RS,387448.7915,704828.1312,1421615.317,0,0,0,176.7863213,0,0,,Europe,
Ukr.,Ukraine,UP,233042.5299,252502.2358,464275.0916,0,0,0,79.42055556,404.4002918,0,,Europe,
Rom.,Romania,RO,59240.68884,61823.59261,63070.28997,0,0,0,31813.52056,43655.60059,53750.52403,,Europe,
Mol.,Moldova,MD,5948.662222,3329.387317,4208.16816,0,0,0,4796.701315,2846.238351,2213.97465,,Europe,
Rus.,Russia,RS,76903.7466,109235.2293,335826.5314,0,0,0,0,0,0,,Europe,
Fin.,Finland,FI,15453.00757,38469.64827,9910.609309,0,0,0,0,0,0,,Europe,
Nor.,Norway,NO,0,0,0,0,0,0,0,0,0,,Europe,
And.,Andorra,AN,0,5975.248413,0,0,0,0,0,0,0,,Europe,
,Italy,IT,86872.54463,123037.4346,91739.88788,0,0,0,51519.97174,110444.8849,124040.6032,,Europe,
Mon.,Monaco,MN,0,0,0,0,0,0,0,0,0,,Europe,
,Malta,MT,0,0,0,0,0,0,0,0,0,,Europe,
S. Mar.,San Marino,SM,0,0,0,0,0,0,0.323155079,0,0,,Europe,
Vat. C.,Vatican City,VT,0,0,0,0,0,0,0,0,0,,Europe,
Cro.,Croatia,HR,17779.2926,7737.712378,7.040507404,0,0,0,14920.14128,6147.60112,221.9986847,,Europe,
Alb.,Albania,AL,30023.87452,26497.4708,20966.63765,0,0,0,16005.85562,11503.11219,18762.69368,,Europe,
Bos. & Her.,Bosnia & Herzegovina,BK,15330.86467,21564.47854,8360.894243,0,0,0,12700.62883,5189.646224,3936.724803,,Europe,
Mont.,Montenegro,MJ,1981.085453,2865.478476,2012.090881,0,0,0,15.00874016,62.37933821,0,,Europe,
Ser.,Serbia,RI,15192.4674,4974.038566,31869.95835,0,0,0,11077.58115,1519.918981,8105.883678,,Europe,
Gr.,Greece,GR,51359.43038,38298.64264,66508.98295,0,0,0,39804.83528,33656.68488,65882.67915,,Europe,
Mace.,Macedonia,MK,10083.52799,13100.48874,15166.13685,0,0,0,12463.96695,5851.218298,9207.594637,,Europe,
Kos.,Kosovo,KV,1895.707958,5366.970339,3644.413183,0,0,0,0,0,0,,Europe,
Bulg.,Bulgaria,BU,24884.79359,41935.42805,45706.33132,0,0,0,25364.60013,21296.22897,35874.0164,,Europe,
Port.,Portugal (Azores),PO,0,0,0,0,0,0,0,0,0,,Europe,
Port.,Portugal,PO,1285.636259,1997.388422,15414.56405,0,0,0,1310.469997,1884.440596,17786.12947,,Europe,
Gibr.,Gibraltar,GI,0,0,1054.60498,0,0,0,0,0,0,,Europe,
Sp.,Spain,SP,57064.82843,64914.43243,76471.66136,0,0,0,45271.55233,47520.94505,63548.80922,,Europe,
Fr.,France,FR,138850.491,97275.57777,511533.5317,0,0,0,66676.32242,75333.87276,540397.9015,,Europe,
Sval.,Svalbard,SV,0,0,0,0,0,0,0,0,0,,Europe,
Swe.,Sweden,SW,0,0,0,0,0,0,0,0,0,,Europe,
Den.,Denmark,DA,1928.472313,3538.172899,23150.67069,0,0,0,0,0,0,,Europe,
Est.,Estonia,EN,10899.11906,5228.306011,7269.113109,0,0,0,10330.50846,3945.845151,8441.956314,,Europe,
Lat.,Latvia,LG,10498.26686,8667.091746,14017.16147,0,0,0,16916.55292,4961.647092,12322.62327,,Europe,
Lith.,Lithuania,LH,1456.944475,1787.104534,2953.804863,0,0,0,5198.015458,713.2685441,1819.216822,,Europe,
Bela.,Belarus,BO,18686.87193,50228.15279,82966.72499,0,0,0,64977.78832,27780.64289,58275.59684,,Europe,
Pol.,Poland,PL,171993.4521,243828.2912,247339.0177,0,0,0,154992.8301,175861.0586,218346.5251,,Europe,
Ger.,Germany,GM,77460.00868,94710.54288,234934.6209,0,0,0,58277.27923,81681.24509,235171.3522,,Europe,
Czech.,Czechia,EZ,18330.50304,34243.93114,16582.0241,0,0,0,15656.30054,22678.90652,10524.15814,,Europe,
Slov.,Slovakia,LO,24906.29832,21447.09712,9845.06653,0,0,0,11696.55749,16045.46497,9639.838473,,Europe,
Hung.,Hungary,HU,26524.58373,14454.31636,31867.35347,0,0,0,15626.94166,8869.740313,34662.00165,,Europe,
Slo.,Slovenia,SI,3891.670734,3617.225918,274.8295593,0,0,0,3463.035847,3357.47605,197.9504635,,Europe,
Aus.,Austria,AU,15881.74972,19531.02846,7031.875622,0,0,0,12303.40181,16144.93981,8987.87814,,Europe,
,Dragonja River Mouth,UU,9.897354706,0,0,0,0,0,0,0,0,,Europe,
Switz.,Switzerland,SZ,16847.01019,51269.72398,18676.59531,0,0,0,15444.73912,48125.02674,18178.89237,,Europe,
Liech.,Liechtenstein,LS,0,0,0,0,0,0,0,0,0,,Europe,
Lux.,Luxembourg,LU,0,0,0,0,0,0,0,0,0,,Europe,
Neth.,Netherlands,NL,19327.15521,47277.21065,263578.8968,0,0,0,13971.90874,41422.1885,296494.9931,,Europe,
Bel.,Belgium,BE,4010.641838,17960.06096,22742.98213,0,0,0,2386.411718,15237.94566,17832.99484,,Europe,
U.K.,United Kingdom,UK,1094297.885,3484884.886,1.13E+07,0,0,0,1059964.641,3459081.173,1.12E+07,,Europe,
Jer.,Jersey,JE,0,0,0,0,0,0,0,0,0,,Europe,
Guern.,Guernsey,GK,0,62.61338425,0,0,0,0,0,0,0,,Europe,
Ire.,Ireland,EI,188991.4272,194472.3937,396814.7674,0,0,0,177548.6482,189949.5742,399145.8927,,Europe,
I. of Man,Isle of Man,IM,4617.99007,22992.76316,0,0,0,0,0,0,0,,Europe,
Faroe Is.,Faroe Is,FO,0,0,0,0,0,0,0,0,0,,Europe,
Ice.,Iceland,IC,0,0,0,0,0,0,0,0,0,,Europe,
J. May.,Jan Mayen,JN,0,0,0,0,0,0,0,0,0,,Europe,
