country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Pit. Is.,Pitcairn Is,PC,0,0,0,0,0,0,0,0,0,,Oceania,
,Palau,PS,0,0,0,0,0,0,0,0,0,,Oceania,
,Nauru,NR,0,0,0,0,0,0,0,0,0,,Oceania,
Tuv.,Tuvalu,TV,0,0,0,0,0,0,0,0,0,,Oceania,
Tok.,Tokelau,TL,0,0,0,0,0,0,0,0,0,,Oceania,
,US Minor Pacific Is. Refuges,UM,0,0,0,0,0,0,0,0,0,,Oceania,
Cook Is.,Cook Is,CW,0,0,0,0,0,0,0,0,0,,Oceania,
Am. Sam.,American Samoa,AQ,0,0,0,0,0,0,0,0,0,,Oceania,
,Tonga,TN,0,0,0,0,0,0,0,0,0,,Oceania,
,Niue,NE,0,0,0,0,0,0,0,0,0,,Oceania,
,Samoa,WS,0,0,0,0,0,0,0,0,0,,Oceania,
Wal. & Fut.,Wallis & Futuna,WF,0,0,0,0,0,0,0,0,0,,Oceania,
Fr. Poly.,French Polynesia,FP,0,0,0,0,0,0,0,0,0,,Oceania,
U.S.,United States,US,0,0,0,0,0,0,0,0,0,,Oceania,
N. Mar. Is.,Northern Mariana Is,CQ,0,0,0,0,0,0,0,0,0,,Oceania,
Marsh. Is.,Marshall Is,RM,0,0,0,0,0,0,0,0,0,,Oceania,
Wake I.,Wake I,WQ,0,0,0,0,0,0,0,0,0,,Oceania,
Kiri.,Kiribati,KR,0,0,0,0,0,0,0,0,0,,Oceania,
Micro.,Fed States of Micronesia,FM,0,0,0,0,0,0,0,0,0,,Oceania,
,Guam,GQ,0,0,0,0,0,0,0,0,0,,Oceania,
Pap. N. Gui.,Papua New Guinea,PP,6920.557661,16138.70032,0,0,0,0,6243.679029,0,0,,Oceania,
Sol. Is.,Solomon Is,BP,0,0,0,0,0,0,0,0,0,,Oceania,
N. Cal.,New Caledonia,NC,0,0,0,0,0,0,0,0,0,,Oceania,
Norf. I.,Norfolk I,NF,0,0,0,0,0,0,0,0,0,,Oceania,
N.Z.,New Zealand,NZ,4985.59044,8009.22319,18231.23984,0,0,0,4408.798942,8961.364041,20463.35875,,Oceania,
,Fiji,FJ,1728.47607,0,0,0,0,0,632.3253371,3.432310638,0,,Oceania,
Vanu.,Vanuatu,NH,0,0,0,0,0,0,0,0,0,,Oceania,
