country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Mald.,Maldives,MV,0,0,0,0,0,0,0,0,0,,S Asia,
Bhu.,Bhutan,BT,1971.619139,965.4524261,50049.68357,0,0,0,3882.295556,336.0801842,1563.016465,,S Asia,
,Aksai Chin,UU,2.676544552,0,0,0,0,0,0,0,0,,S Asia,
Afg.,Afghanistan,AF,27753.99503,56526.68399,24743.61945,0,0,0,67263.49351,3208.551638,2982.171137,,S Asia,
Pak.,Pakistan,PK,1598936.626,7471634.043,8367036.103,0,0,0,5792868.655,906065.2274,888804.8382,,S Asia,
,Siachen-Saltoro Area,UU,0,0,0,0,0,0,0,0,0,,S Asia,
,Demchok Area,UU,0,0,0,0,0,0,0,0,0,,S Asia,
,IN-CH Small Disputed Areas,UU,0.129146084,0,0,0,0,0,71.15167527,0,0,,S Asia,
,Nepal,NP,79138.43893,1240767.128,481824.8466,0,0,0,447984.5264,753033.8907,212341.3483,,S Asia,
,Kalapani Area,UU,0,0,0,0,0,0,0,0,0,,S Asia,
,Dramana-Shakatoe Area,UU,0,0,0,0,0,0,0,0,0,,S Asia,
Sri Lan.,Sri Lanka,CE,88084.03991,53329.73687,28032.21497,0,0,0,19776.71936,22718.49446,19873.1511,,S Asia,
,India,IN,4959529.512,3.10E+07,6.29E+07,0,0,0,4.23E+07,9081168.384,1.47E+07,,S Asia,
Bangl.,Bangladesh,BG,1502982.633,1.49E+07,2.45E+07,0,0,0,2.51E+07,7097476.944,9776472.654,,S Asia,
