country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Indo.,Indonesia,ID,624113.8354,2135126.825,3980091.898,0,0,0,1578386.863,1421321.611,1090507.362,,SE Asia,
Parc. Is.,Paracel Is,PF,0,0,0,0,0,0,0,0,0,,SE Asia,
Sing.,Singapore,SN,34.89937883,240.6297228,72066.52878,0,0,0,388.9140944,113.1145362,86380.69449,,SE Asia,
Bru.,Brunei,BX,53.60446087,0,0,0,0,0,56.90279367,41.38384994,0,,SE Asia,
Phil.,Philippines,RP,480590.0129,1949529.96,1519841.274,0,0,0,751896.7417,1256030.533,1326065.211,,SE Asia,
Spr. Is.,Spratly Is,PG,0,0,0,0,0,0,0,0,0,,SE Asia,
Tim.-Les.,Timor-Leste,TT,0,0,0,0,0,0,0,0,0,,SE Asia,
Ash. & Cart. Is.,Ashmore & Cartier Is,AT,0,0,0,0,0,0,0,0,0,,SE Asia,
Malay.,Malaysia,MY,64348.08043,96834.4108,128762.4015,0,0,0,56934.38502,53107.43525,110492.6535,,SE Asia,
Thai.,Thailand,TH,2049764.851,3664364.174,2361703.773,0,0,0,3684152.46,1970919.735,2196348.976,,SE Asia,
,Burma,BM,1234316.747,2823462.83,623556.8524,0,0,0,65670.95155,10232.17695,574.9425866,,SE Asia,
,Laos,LA,195078.7391,469527.168,90526.30608,0,0,0,354677.497,103821.8473,58725.56078,,SE Asia,
Camb.,Cambodia,CB,1134336.764,1602591.429,152488.5459,0,0,0,1748999.621,553717.2734,128032.4768,,SE Asia,
Viet.,Vietnam,VM,1082889.857,4929722.644,3422111.65,0,0,0,6590458.427,2881158.635,1875070.692,,SE Asia,
