country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Bol.,Bolivia,BL,42388.25825,79929.89139,21157.08582,0,0,0,31243.70134,11273.2028,7135.395731,,South America,
,Chile,CI,12064.4964,538.5145144,6217.291826,0,0,0,2092.345611,530.8653439,4463.160606,,South America,
Para.,Paraguay,PA,49721.1153,26258.23024,31318.88501,0,0,0,22202.23882,8320.040083,18032.42107,,South America,
Arg.,Argentina,AR,74626.70096,33590.73992,29880.04901,0,0,0,57166.76559,13292.53188,20578.02122,,South America,
Uru.,Uruguay,UY,3273.15092,3453.825814,25602.57363,0,0,0,3254.831425,4373.700319,19627.48332,,South America,
,Invernada Area,BR,0,0,0,0,0,0,0,0,0,,South America,
,Isla Brasilera,UU,0,0,0,0,0,0,1.749811954,0,0,,South America,
Falk. Is.,Falkland Islands,FA,0,0,0,0,0,0,0,0,0,,South America,
Ecua.,Ecuador,EC,19943.90496,40708.02393,13518.54515,0,0,0,70241.84127,2647.939668,13539.60244,,South America,
Ven.,Venezuela,VE,126988.0831,164626.7865,141261.4387,0,0,0,234.9030157,0,0,,South America,
Sur.,Suriname,NS,186.2546417,0,0,0,0,0,46.86949534,0,0,,South America,
Fr. Gui.,French Guiana,FG,0,0,0,0,0,0,0,0,0,,South America,
Guy.,Guyana,GY,15730.26981,5873.69759,27231.46586,0,0,0,2581.841962,5701.261443,25275.21266,,South America,
Col.,Colombia,CO,193560.7378,260248.0861,362437.8533,0,0,0,142390.446,65006.78352,304519.1449,,South America,
,Peru,PE,44557.39357,27601.73184,10196.612,0,0,0,19523.19305,2316.238844,5559.595278,,South America,
Braz.,Brazil,BR,195641.6038,43637.82252,102977.4238,0,0,0,117491.0081,33019.29205,93235.72345,,South America,
