country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
,Oman,MU,66.90890214,16448.41761,734.6763548,0,0,0,2221.677442,1700.155468,38.86788255,,SW Asia,
U.A.E.,United Arab Emirates,AE,193.9264885,3205.129642,1164.89412,0,0,0,3812.033625,1058.526706,382.2155885,,SW Asia,
,Qatar,QA,17.95110841,91.29204374,539.405407,0,0,0,504.64577,731.2622782,143.3765507,,SW Asia,
Bahr.,Bahrain,BA,160.2285228,576.8591652,18875.69146,0,0,0,389.069842,1196.165147,9641.51168,,SW Asia,
,Iran,IR,57726.92941,44084.23883,63941.79004,0,0,0,515.3178883,45.36775319,0,,SW Asia,
Kuw.,Kuwait,KU,782.0406021,1239.812033,2732.532285,0,0,0,191.607308,897.1184104,2793.292364,,SW Asia,
Azer.,Azerbaijan,AJ,15953.83318,13922.40837,11438.64852,0,0,0,0,0,0,,SW Asia,
Arm.,Armenia,AM,1062.911205,723.9260098,465.8573599,0,0,0,0,0,0,,SW Asia,
Geo.,Georgia,GG,1917.312714,1775.709633,645.8540438,0,0,0,0,0,0,,SW Asia,
,Sinafir & Tiran Is.,UU,0,0,0,0,0,0,0,0,0,,SW Asia,
Turk.,Turkey,TU,184584.0611,290232.7943,548924.846,0,0,0,34.3713569,0,0,,SW Asia,
Cyp.,Cyprus,CY,959.8238662,2905.762471,3724.745509,0,0,0,0,0,0,,SW Asia,
,Dhekelia,DX,0,0,0,0,0,0,0,0,0,,SW Asia,
,Akrotiri,AX,123.8058745,1.290249638,0,0,0,0,0,0,0,,SW Asia,
Gaz. Str.,Gaza Strip,GZ,0,0,0,0,0,0,0,0,0,,SW Asia,
Is.,Israel,IS,1123.599157,5429.309873,35500.94711,0,0,0,0,0,0,,SW Asia,
Jor.,Jordan,JO,281.3508816,0,0,0,0,0,97.13438265,0,0,,SW Asia,
Sau. Ar.,Saudi Arabia,SA,906.568506,8537.240442,2169.790229,0,0,0,2858.362166,1986.948605,1371.632593,,SW Asia,
W. Bank,West Bank,WE,89.50471592,151.8568869,376.5490952,0,0,0,0,0,0,,SW Asia,
,No Man's Land,NM,0,0,0,0,0,0,0,0,0,,SW Asia,
W. Bank,West Bank,WE,0,0,0,0,0,0,0,0,0,,SW Asia,
,Iraq,IZ,125415.6077,273322.6878,14184.69067,0,0,0,127610.3343,19754.17537,10677.16928,,SW Asia,
Syr.,Syria,SY,48413.61238,114339.9303,23957.6829,0,0,0,4.010704633,0,0,,SW Asia,
Leb.,Lebanon,LE,1468.025483,5567.494294,56923.00067,0,0,0,3326.982953,7221.892137,42204.42557,,SW Asia,
Syr.,Syria,SY,0,0,0,0,0,0,0,0,0,,SW Asia,
Syr.,Syria,SY,0,0,0,0,0,0,0,0,0,,SW Asia,
Is.,Israel,IS,0,0,0,0,0,0,0,0,0,,SW Asia,
Syr.,Syria,SY,0,0,0,0,0,0,0,0,0,,SW Asia,
Syr.,Syria,SY,0,0,0,0,0,0,0,0,0,,SW Asia,
Yem.,Yemen,YM,279.0002138,0,2735.717416,0,0,0,0,0,0,,SW Asia,
