system:index,CLOUD_COVER,DELTA,DFO_ID,LANDSAT_5,LANDSAT_7,LANDSAT_8,LANDSAT_ALL,X,Y,.geo
DFO_1595_From_20000405_to_20000425,20,1,1595.0,0,0,0,0,21.137670067213204,48.03813071931761,
DFO_1614_From_20000711_to_20000810,20,1,1614.0,0,0,0,0,103.77348249345629,15.077585956096483,
DFO_1627_From_20000830_to_20000910,20,1,1627.0,0,0,0,0,126.75311744513111,41.71137143173197,
DFO_1641_From_20000918_to_20001021,20,1,1641.0,0,1,0,1,83.96989516836256,25.92024105418647,
DFO_1747_From_20010708_to_20010810,20,1,1747.0,0,0,0,0,85.81621158201825,20.77434523070911,
DFO_1772_From_20010806_to_20010913,20,1,1772.0,0,0,0,0,33.33305283204393,17.121240350278978,
DFO_1778_From_20010819_to_20011011,20,1,1778.0,0,0,0,0,15.596116163180458,10.196998464669086,
DFO_1781_From_20010815_to_20011119,20,1,1781.0,0,0,0,0,103.77348249345629,15.077585956096483,
DFO_1789_From_20010820_to_20010911,20,1,1789.0,0,0,0,0,81.56840518830815,26.977194318660974,
DFO_1791_From_20010907_to_20010924,20,1,1791.0,0,0,0,0,81.56840518830815,26.977194318660974,
DFO_1793_From_20010818_to_20011009,20,1,1793.0,0,0,0,0,-4.376888510240526,14.671275437126937,
DFO_1810_From_20011001_to_20011201,20,1,1810.0,0,5,0,5,-63.134586430386065,-31.82446895135786,
DFO_1818_From_20011026_to_20011115,20,1,1818.0,0,2,0,2,-83.41031364898929,17.029664458692903,
DFO_1820_From_20011101_to_20011114,20,1,1820.0,0,0,0,0,40.634168964961795,3.5440210741842213,
DFO_1829_From_20011128_to_20011207,20,1,1829.0,0,0,0,0,-92.22038946639292,35.81259545221491,
DFO_1840_From_20011217_to_20011225,20,1,1840.0,0,0,0,0,-92.21991790485359,36.86113661567353,
DFO_1885_From_20020115_to_20020402,20,1,1885.0,0,0,0,0,-50.719991333132064,-9.716661817035085,
DFO_1907_From_20020416_to_20020421,20,1,1907.0,0,0,0,0,43.46946474184525,6.26623299326991,
DFO_1908_From_20020418_to_20020429,20,1,1908.0,0,0,0,0,92.0121883749919,24.2975268425161,
DFO_1910_From_20020422_to_20020507,20,1,1910.0,0,1,0,1,67.70159222067791,56.65713636284535,
DFO_1917_From_20020426_to_20020528,20,1,1917.0,0,0,0,0,30.186729172113047,-4.043647792302267,
DFO_1919_From_20020507_to_20020608,20,1,1919.0,0,0,0,0,-95.88900200995148,42.295288973463755,
DFO_1921_From_20020507_to_20020606,20,1,1921.0,0,0,0,0,67.10685018871335,56.396045844383345,
DFO_1925_From_20020506_to_20020528,20,1,1925.0,0,1,0,1,-57.981812607878105,-23.411702745167744,
DFO_1931_From_20020524_to_20020601,20,1,1931.0,0,1,0,1,130.33188175128677,60.30574104593637,
DFO_1938_From_20020604_to_20020606,20,1,1938.0,0,0,0,0,32.05760839333071,34.96255438451016,
DFO_1939_From_20020423_to_20020509,20,1,1939.0,0,0,0,0,-57.15695684549767,-29.88289994624097,
DFO_1943_From_20020608_to_20020629,20,1,1943.0,0,0,0,0,-96.40964653134138,45.94174480146772,
DFO_1951_From_20020612_to_20020616,20,1,1951.0,0,0,0,0,-79.5411986622872,21.290478276886027,
DFO_1962_From_20020619_to_20020701,20,1,1962.0,0,0,0,0,43.608631548847235,43.05750367910153,
DFO_1971_From_20020630_to_20020713,20,1,1971.0,0,4,0,4,106.62454918878895,31.57356801870504,
DFO_1972_From_20020630_to_20020723,20,1,1972.0,0,0,0,0,-101.907363066326,31.538794019416994,
DFO_1974_From_20020621_to_20020828,20,1,1974.0,0,0,0,0,84.1419774012404,24.226230651385706,
DFO_1977_From_20020705_to_20020708,20,1,1977.0,0,0,0,0,-69.481318536608,8.01439100526441,
DFO_1979_From_20020706_to_20020708,20,1,1979.0,0,0,0,0,-102.02411817810525,43.784661564431495,
DFO_1980_From_20020707_to_20020709,20,1,1980.0,0,0,0,0,81.56840518830815,26.977194318660974,
DFO_1981_From_20020706_to_20020719,20,1,1981.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_1985_From_20020712_to_20020715,20,1,1985.0,0,0,0,0,175.59369363019098,-37.956707527087275,
DFO_1991_From_20020715_to_20021202,20,1,1991.0,0,0,0,0,103.77348249345629,15.077585956096483,
DFO_1996_From_20020720_to_20020731,20,1,1996.0,0,0,0,0,-66.63481360517926,4.593210263754315,
DFO_1998_From_20020720_to_20020728,20,1,1998.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2007_From_20020427_to_20020531,20,1,2007.0,0,0,0,0,-154.74396221531785,63.43246463775202,
DFO_2009_From_20020728_to_20020803,20,1,2009.0,0,0,0,0,18.616461555747367,-31.64611181366781,
DFO_2019_From_20020805_to_20020812,20,1,2019.0,0,0,0,0,116.17911569840817,24.67934340190301,
DFO_2023_From_20020806_to_20020828,20,1,2023.0,0,0,0,0,104.57424374940746,30.33412193322081,
DFO_2024_From_20020807_to_20020828,20,1,2024.0,0,4,0,4,12.164067687528451,51.389696414297624,
DFO_2029_From_20020810_to_20020814,20,1,2029.0,0,0,0,0,56.491678943549296,37.63955818679388,
DFO_2035_From_20020814_to_20020822,20,1,2035.0,0,0,0,0,107.40468551757722,23.394808662116237,
DFO_2039_From_20020818_to_20021126,20,1,2039.0,0,0,0,0,100.3101308298623,20.913085528925187,
DFO_2041_From_20020817_to_20020904,20,1,2041.0,0,0,0,0,96.15454502650124,22.47652236120382,
DFO_2042_From_20020824_to_20020829,20,1,2042.0,0,0,0,0,-71.82816712989712,-34.1766606577364,
DFO_2045_From_20020831_to_20020903,20,1,2045.0,1,0,0,1,127.82352737892754,37.18019896756526,
DFO_2046_From_20020828_to_20020906,20,1,2046.0,0,0,0,0,133.9622813999847,46.14986468008746,
DFO_2049_From_20020903_to_20020906,20,1,2049.0,0,0,0,0,77.13375616242239,16.235793070760288,
DFO_2052_From_20020908_to_20020912,20,1,2052.0,0,0,0,0,1.403945218400345,41.96647776151103,
DFO_2056_From_20020906_to_20020919,20,1,2056.0,0,0,0,0,-99.27843026971694,30.266102010978727,
DFO_2059_From_20020920_to_20020930,20,1,2059.0,0,0,0,0,105.15229328704001,15.558141471371103,
DFO_2060_From_20020921_to_20021008,20,1,2060.0,0,0,0,0,21.120342188929815,41.37702580578909,
DFO_2061_From_20020917_to_20021202,20,1,2061.0,0,0,0,0,102.21929618548845,10.44293701359391,
DFO_2063_From_20020926_to_20020929,20,1,2063.0,0,0,0,0,-90.88480307919562,31.13925925461088,
DFO_2064_From_20020929_to_20021007,20,1,2064.0,0,0,0,0,-82.68361567087017,24.468593096897482,
DFO_2066_From_20021010_to_20021012,20,1,2066.0,0,0,0,0,-91.25870548853355,34.37982045238078,
DFO_2070_From_20021012_to_20021102,20,1,2070.0,0,0,0,0,-57.98193365006513,-25.7668136565714,
DFO_2073_From_20021012_to_20021111,20,1,2073.0,0,0,0,0,-57.981570079388256,-24.715713889834806,
DFO_2075_From_20021024_to_20021028,20,1,2075.0,0,2,0,2,-148.45193703364924,60.68271712152625,
DFO_2076_From_20021023_to_20021113,20,1,2076.0,2,0,0,2,-101.58937717740409,31.543950512376778,
DFO_2077_From_20021026_to_20021029,20,1,2077.0,0,1,0,1,106.26508353333861,15.551635839798266,
DFO_2079_From_20021028_to_20021102,20,1,2079.0,0,0,0,0,108.4873935342022,24.200038842614934,
DFO_2090_From_20021119_to_20021121,20,1,2090.0,0,0,0,0,170.4104992616503,-43.61963983892925,
DFO_2097_From_20021124_to_20021129,20,1,2097.0,0,0,0,0,-6.086086332126925,33.55674305619335,
DFO_2099_From_20021122_to_20021203,20,1,2099.0,0,2,0,2,17.802614746310397,41.778012294447514,
DFO_2103_From_20021213_to_20021214,20,1,2103.0,0,1,0,1,1.403945218400345,41.96647776151103,
DFO_2104_From_20021214_to_20021224,20,1,2104.0,1,0,0,1,-120.94239952492389,40.373467190094956,
DFO_2106_From_20021215_to_20021220,20,1,2106.0,0,0,0,0,99.83876067769974,-0.017924004667096694,
DFO_2115_From_20030101_to_20030106,20,1,2115.0,0,0,0,0,-92.22480789585433,33.47129460783576,
DFO_2116_From_20030101_to_20030106,20,1,2116.0,0,0,0,0,-2.892580082228686,54.48684297079539,
DFO_2117_From_20030101_to_20030108,20,1,2117.0,0,2,0,2,9.241669597086766,45.012624567614,
DFO_2119_From_20030101_to_20030217,20,1,2119.0,0,2,0,2,34.44027448152306,-16.32269844294832,
DFO_2120_From_20030103_to_20030108,20,1,2120.0,0,0,0,0,-65.4501287792295,-11.779090633620221,
DFO_2130_From_20030113_to_20030131,20,1,2130.0,0,0,0,0,-61.56619019042633,-29.243429993022183,
DFO_2134_From_20030120_to_20030210,20,1,2134.0,0,0,0,0,101.03351999892213,8.763363149180206,
